Путь к мудрости; Улица Профсоюзная 25, Москва; Иванов
Сквозь время и пространство; Проспект Ленина 10, Санкт-Петербург; Смирнов
Искусство выживания; Улица Гагарина 45, Екатеринбург; Петров
Семейные тайны; Улица Пушкинская 8, Нижний Новгород; Соколов
Свет во тьме; Аллея Ленинская 3, Красноярск; Козлов
Загадки и приключения; Улица Советская 14, Казань; Лебедев
Моменты счастья; Улица Волгоградская 67, Самара; Морозов
Сила внутри; Площадь Октябрьская 22, Омск; Новиков
Роман века; Улица Ленинградская 18, Ростов-на-Дону; Кузнецов
Путешествие души; Улица Орджоникидзе 28, Пермь; Павлов
Океан возможностей; Улица Горького 64, Воронеж; Герасимов
Краски жизни; Проспект Шевченко 12, Краснодар; Никитин
Вечность момента; Аллея Пушкинская 40, Ижевск; Селезнев
По ту сторону горизонта; Улица Толстого 6, Тула; Мартынов
Открой дверь воображения; Проспект Фрунзе 51, Томск; Орлов
Размышления о времени; Проезд Горького 19, Саратов; Кириллов
Взлет и падение; Улица Лесная 8, Иркутск; Родионов
Искупление прошлого; Улица Мичурина 99, Курск; Семенов
Зеркало души; Улица Дружбы 7, Кемерово; Гаврилов
